"定点報告疾患 月報告分 男女別集計表"
"東京都"
"集計期間開始月",2026年8月
"集計期間終了月",2026年8月

"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","102","79","181","55"
"性器ヘルペスウイルス感染症","18","23","41","55"
"尖圭コンジローマ","45","19","64","55"
"淋菌感染症","41","22","63","55"
"膣トリコモナス症","1","8","9","55"
"メチシリン耐性黄色ブドウ球菌感染症","42","22","64","25"
"ペニシリン耐性肺炎球菌感染症","3","1","4","25"
